size,items,sum,average
1,Artwork: Deep Forest,6069,6069
1,Asahi Inori Figurine,30264,30264
1,Ghostfire Wisp,260423,260423
1,Lost Armor,3626,3626
1,New Flavor Out Now!,2745,2745
1,Nine-Bite Snack Box,240208,240208
1,Thud-Thud Hammer,100000,100000
1,Wheelchair Model,27159,27159
2,Artwork: Deep Forest x2,12138,6069.0
2,Artwork: Deep Forest + Asahi Inori Figurine,36333,18166.5
2,Artwork: Deep Forest + Ghostfire Wisp,266492,133246.0
2,Artwork: Deep Forest + Lost Armor,9695,4847.5
2,Artwork: Deep Forest + New Flavor Out Now!,8814,4407.0
2,Artwork: Deep Forest + Nine-Bite Snack Box,246277,123138.5
2,Artwork: Deep Forest + Thud-Thud Hammer,106069,53034.5
2,Artwork: Deep Forest + Wheelchair Model,33228,16614.0
2,Asahi Inori Figurine x2,60528,30264.0
2,Asahi Inori Figurine + Ghostfire Wisp,290687,145343.5
2,Asahi Inori Figurine + Lost Armor,33890,16945.0
2,Asahi Inori Figurine + New Flavor Out Now!,33009,16504.5
2,Asahi Inori Figurine + Nine-Bite Snack Box,270472,135236.0
2,Asahi Inori Figurine + Thud-Thud Hammer,130264,65132.0
2,Asahi Inori Figurine + Wheelchair Model,57423,28711.5
2,Ghostfire Wisp x2,520846,260423.0
2,Ghostfire Wisp + Lost Armor,264049,132024.5
2,Ghostfire Wisp + New Flavor Out Now!,263168,131584.0
2,Ghostfire Wisp + Nine-Bite Snack Box,500631,250315.5
2,Ghostfire Wisp + Thud-Thud Hammer,360423,180211.5
2,Ghostfire Wisp + Wheelchair Model,287582,143791.0
2,Lost Armor x2,7252,3626.0
2,Lost Armor + New Flavor Out Now!,6371,3185.5
2,Lost Armor + Nine-Bite Snack Box,243834,121917.0
2,Lost Armor + Thud-Thud Hammer,103626,51813.0
2,Lost Armor + Wheelchair Model,30785,15392.5
2,New Flavor Out Now! x2,5490,2745.0
2,New Flavor Out Now! + Nine-Bite Snack Box,242953,121476.5
2,New Flavor Out Now! + Thud-Thud Hammer,102745,51372.5
2,New Flavor Out Now! + Wheelchair Model,29904,14952.0
2,Nine-Bite Snack Box x2,480416,240208.0
2,Nine-Bite Snack Box + Thud-Thud Hammer,340208,170104.0
2,Nine-Bite Snack Box + Wheelchair Model,267367,133683.5
2,Thud-Thud Hammer x2,200000,100000.0
2,Thud-Thud Hammer + Wheelchair Model,127159,63579.5
2,Wheelchair Model x2,54318,27159.0
3,Artwork: Deep Forest x3,18207,6069.0
3,Artwork: Deep Forest x2 + Asahi Inori Figurine,42402,14134.0
3,Artwork: Deep Forest x2 + Ghostfire Wisp,272561,90853.666667
3,Artwork: Deep Forest x2 + Lost Armor,15764,5254.666667
3,Artwork: Deep Forest x2 + New Flavor Out Now!,14883,4961.0
3,Artwork: Deep Forest x2 + Nine-Bite Snack Box,252346,84115.333333
3,Artwork: Deep Forest x2 + Thud-Thud Hammer,112138,37379.333333
3,Artwork: Deep Forest x2 + Wheelchair Model,39297,13099.0
3,Artwork: Deep Forest + Asahi Inori Figurine x2,66597,22199.0
3,Artwork: Deep Forest + Asahi Inori Figurine + Ghostfire Wisp,296756,98918.666667
3,Artwork: Deep Forest + Asahi Inori Figurine + Lost Armor,39959,13319.666667
3,Artwork: Deep Forest + Asahi Inori Figurine + New Flavor Out Now!,39078,13026.0
3,Artwork: Deep Forest + Asahi Inori Figurine + Nine-Bite Snack Box,276541,92180.333333
3,Artwork: Deep Forest + Asahi Inori Figurine + Thud-Thud Hammer,136333,45444.333333
3,Artwork: Deep Forest + Asahi Inori Figurine + Wheelchair Model,63492,21164.0
3,Artwork: Deep Forest + Ghostfire Wisp x2,526915,175638.333333
3,Artwork: Deep Forest + Ghostfire Wisp + Lost Armor,270118,90039.333333
3,Artwork: Deep Forest + Ghostfire Wisp + New Flavor Out Now!,269237,89745.666667
3,Artwork: Deep Forest + Ghostfire Wisp + Nine-Bite Snack Box,506700,168900.0
3,Artwork: Deep Forest + Ghostfire Wisp + Thud-Thud Hammer,366492,122164.0
3,Artwork: Deep Forest + Ghostfire Wisp + Wheelchair Model,293651,97883.666667
3,Artwork: Deep Forest + Lost Armor x2,13321,4440.333333
